Name,Sum of Subscribers (millions)
T-Series,249
MrBeast,184
Cocomelon,165
Sony Entertainment Television India,162
Kids Diana Show,113
PewDiePie,111
Like Nastya,107
Vlad and Niki,101
Zee Music Company,99.5
WWE,97.1
Blackpink,91.2
Goldmines,89.5
Sony SAB,85.2
5-Minute Crafts,80.2
BangtanTV,76.4
Hybe Labels,72.6
Zee TV,72.4
Justin Bieber,71.9
Pinkfong,69.5
ChuChu TV Nursery Rhymes & Kids Songs,67.5
Canal KondZilla,66.6
Colors TV,66.6
Shemaroo Entertainment,66.3
T-Series Bhakti Sagar,62.4
Tips Official,60.8
Movieclips,59.8
Dude Perfect,59.7
El Reino Infantil,59.7
Aaj Tak,58.8
Wave Music,58.7
Sony Music India,57.8
Eminem,57.4
Marshmello,56.5
Yash Raj Films,55.7
Infobells,55.6
LooLoo Kids,54.7
Taylor Swift,54.1
Ed Sheeran,53.7
BillionSurpriseToys,53
Ariana Grande,52.9
Shemaroo,48.8
JuegaGerman,48.6
Billie Eilish,48.5
Get Movies,48.1
SonyMusicIndiaVEVO,47.4
A4,47.2
Badabun,47
Bad Bunny,46.4
Fernanfloo,46.3
Har Pal Geo,46.3
